Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
222.0,Jerryd Bayless,21.0,POR,SG,74.0,11.0,1304.0,0.414,12.6,0.81,0.36,0.054,0.07,0.325,0.19,0.437,0.54,0.192,0.265,0.401,0.315,0.292,0.931,0.025,10.0,0.543,0.3,1.0,0.0,0
223.0,Erick Dampier,34.0,DAL,C,55.0,47.0,1280.0,0.624,2.1,0.986,0.808,0.131,0.038,0.009,0.014,0.629,0.651,0.536,0.625,0.0,0.333,0.644,1.0,0.169,32.0,0.333,1.0,1.0,0.0,0
224.0,Eric Maynor,22.0,2TM,PG,81.0,2.0,1269.0,0.418,11.4,0.807,0.223,0.323,0.106,0.155,0.193,0.444,0.463,0.412,0.513,0.439,0.31,0.144,0.818,0.0,0.0,0.07,0.2,1.0,0.0,0
224.0,Eric Maynor,22.0,UTA,PG,26.0,2.0,363.0,0.391,10.7,0.82,0.278,0.331,0.105,0.105,0.18,0.431,0.432,0.432,0.5,0.357,0.208,0.191,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
224.0,Eric Maynor,22.0,OKC,PG,55.0,0.0,906.0,0.434,12.1,0.8,0.191,0.319,0.106,0.183,0.2,0.452,0.489,0.4,0.52,0.465,0.362,0.118,0.765,0.0,0.0,0.106,0.2,0.0,0.0,0
225.0,Shaquille O'Neal,37.0,CLE,C,53.0,53.0,1240.0,0.566,3.4,0.998,0.583,0.359,0.05,0.006,0.002,0.567,0.663,0.434,0.478,0.0,0.0,0.565,0.0,0.177,76.0,0.0,0.0,0.0,0.0,0
226.0,Craig Smith,26.0,LAC,PF,75.0,2.0,1232.0,0.569,3.2,0.987,0.7,0.181,0.048,0.058,0.013,0.574,0.64,0.5,0.316,0.217,0.2,0.658,1.0,0.048,19.0,0.4,0.5,0.0,0.0,0
227.0,Ryan Hollins,25.0,MIN,C,73.0,27.0,1223.0,0.558,6.9,0.997,0.465,0.172,0.182,0.178,0.003,0.56,0.716,0.423,0.473,0.37,0.0,0.639,0.0,0.208,60.0,0.0,0.0,0.0,0.0,0
228.0,Kris Humphries,24.0,2TM,PF,69.0,0.0,1221.0,0.441,8.0,0.998,0.424,0.118,0.199,0.257,0.002,0.442,0.555,0.292,0.346,0.4,0.0,0.639,0.0,0.098,38.0,0.0,0.0,0.0,0.0,0
228.0,Kris Humphries,24.0,DAL,PF,25.0,0.0,315.0,0.461,7.3,1.0,0.522,0.07,0.139,0.27,0.0,0.461,0.567,0.375,0.25,0.387,0.0,0.679,0.0,0.13,14.0,0.0,0.0,0.0,0.0,0
